Time,Indoor Temp,Weather Temp,CO2,Relative Humidity,Lighting,Rain,Sun,Wind,Sunlight(West),Sunlight(East),Sunlight(South),Sun Irradiance,Outdoor Temp,Outdoor Relative Humidity
1145,18.1875,0.0,216.56,39.9125,81.665,0.0,623.36,1.42625,9690.24,12604.2,95436.8,758.88,18.115,48.375
1200,18.4633,6.8,219.947,39.9267,81.7413,0.0,623.211,1.592,11022.0,10787.2,95436.8,762.069,18.4147,47.808
1215,18.7673,17.0,219.403,39.772,81.424,0.0,622.656,1.89133,13960.5,9669.63,95398.6,766.251,18.8533,47.432
1230,19.0727,18.0,218.613,39.776,81.5013,0.0,622.571,1.828,18511.2,9648.13,95360.3,766.037,19.2907,47.024
1245,19.3721,20.0,217.714,39.7757,81.4657,0.0,622.4,2.36071,26349.0,9208.32,95354.9,762.743,19.74,45.4743
1300,19.6407,20.0,218.389,39.8107,81.2427,0.0,622.4,2.06333,36511.7,8694.78,95354.9,752.683,20.166,45.5467
1315,19.912,20.0,218.155,39.8613,81.36,0.0,622.4,2.23067,49288.5,8501.25,95354.9,740.949,20.566,44.968
1330,20.164,20.0,216.661,39.824,81.024,0.0,621.803,1.924,62253.7,8687.62,95174.7,721.109,20.8427,45.1813
1345,20.412,20.0,217.461,39.9587,81.104,0.0,620.651,2.51067,71453.4,8888.32,91848.7,699.392,21.204,45.416
1400,20.64,20.0,215.349,39.94,81.1813,0.0,620.309,2.65333,80076.8,9046.02,87217.5,677.675,21.5227,45.0213
1415,20.8453,20.0,213.888,39.9813,61.0693,0.0,619.755,2.82667,86682.3,9182.21,81720.7,648.427,21.756,44.36
1430,21.0333,20.0,215.413,40.3587,51.2373,0.0,619.712,2.49467,88648.4,9347.07,75380.1,615.68,21.984,44.7947
1445,21.2333,20.0,216.021,40.9107,43.3733,0.0,619.328,2.466,91406.3,9712.64,68515.2,582.869,22.108,43.984
1500,21.4293,19.6667,216.256,41.1987,36.2653,0.0,619.243,2.432,90472.4,9963.52,60604.4,544.533,22.1373,44.5467
1515,21.488,19.0,213.173,41.88,34.476,0.0,619.157,1.732,88391.7,9655.3,52794.7,503.744,22.08,44.7813
1530,21.524,18.6667,211.093,43.2213,31.1267,0.0,618.944,1.89133,89134.4,8651.78,44743.3,460.523,21.9373,45.6773
1545,21.584,18.2,211.157,43.3653,21.442,0.0,618.645,1.64267,88462.7,7906.3,36479.0,415.744,21.7067,45.5173
1600,21.612,18.0,209.419,42.744,20.822,0.0,618.56,1.59067,85333.3,7433.22,28270.6,368.917,21.4667,45.2373
1615,21.664,18.0,209.408,42.216,20.8233,0.0,618.56,1.732,84587.9,7175.17,21476.7,320.448,21.1773,45.0747
1630,21.6853,18.0,209.547,41.976,21.2633,0.0,618.517,1.59,78588.6,6831.1,16318.5,271.723,20.9373,45.072
1645,21.788,18.0,212.715,41.52,20.4807,0.0,617.92,1.94733,74555.4,6515.71,12792.5,222.443,20.7107,44.128
1700,21.832,18.7333,212.405,41.3253,20.742,0.0,617.792,1.564,65830.9,5899.26,10106.2,173.835,20.4627,43.2747
1715,21.808,19.0,212.064,40.8667,20.84,0.0,617.109,1.544,40424.4,4243.46,6537.22,101.244,20.2047,43.6107
1730,21.768,18.6667,211.211,40.9813,20.9207,0.0,615.957,1.08867,3024.9,2229.25,2042.88,24.6653,19.976,45.8293
1745,21.7133,18.0,211.051,41.4107,19.4407,0.0,615.36,0.844667,2207.74,1576.96,1512.45,15.57,19.756,47.0693
1800,21.66,18.0,210.763,41.992,11.5887,0.0,614.592,1.442,1017.86,222.208,293.888,5.00933,19.5273,49.5467
1815,21.596,18.0,210.571,43.1973,11.5073,0.0,585.984,0.969333,0.0,0.0,0.0,-2.93933,19.3013,52.2027
1830,21.5307,17.8667,209.92,43.8213,11.5073,0.0,150.851,0.798667,0.0,0.0,0.0,-3.904,19.0413,53.8053
1845,21.4493,17.0,209.792,44.3893,11.5073,0.0,4.60667,0.228,0.0,0.0,0.0,-3.708,18.768,54.928
1900,21.3747,17.0,210.059,44.68,11.4427,0.0,0.782,0.324,0.0,0.0,0.0,-3.64267,18.4967,55.752
1915,21.276,16.2667,210.069,44.64,11.426,0.0,0.65,0.716,0.0,0.0,0.0,-3.708,18.23,56.0213
1930,21.1987,15.6667,209.909,44.8213,11.3113,0.0,0.65,0.110667,0.0,0.0,0.0,-3.904,18.0053,56.584
1945,21.0933,15.6,210.656,44.7493,11.67,0.0,0.65,0.661333,0.0,0.0,0.0,-3.57733,17.7807,57.5387
2000,21.0,15.0,210.667,44.5867,11.524,0.0,0.65,0.615333,0.0,0.0,0.0,-3.64267,17.576,57.9147
2015,20.9053,15.0,209.877,44.3227,11.6053,0.0,0.65,0.458667,0.0,0.0,0.0,-3.64267,17.3707,57.5893
2030,20.816,15.0,210.315,44.4693,11.7847,0.0,0.65,0.132,0.0,0.0,0.0,-3.64267,17.1607,57.1467
2045,20.72,15.0,209.429,44.0507,11.4427,0.0,0.65,0.119333,0.0,0.0,0.0,-3.512,16.9407,57.1653
2100,20.628,15.0,209.216,43.6827,11.5887,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,16.6853,57.1813
2115,20.5253,14.6,210.539,43.8027,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,16.416,57.2453
2130,20.43,14.0667,211.04,43.624,11.5887,0.0,0.694,0.0,0.0,0.0,0.0,-3.38133,16.22,57.3653
2145,20.3147,12.9333,211.317,43.136,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,16.0547,57.5253
2200,20.2133,12.0,212.384,43.2,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,15.876,57.712
2215,20.114,12.0,213.163,42.8533,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,15.7213,57.896
2230,20.0053,11.6,213.472,42.7333,11.7847,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,15.5673,58.0133
2245,19.9007,10.1333,214.827,42.6853,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,15.4147,57.928
2300,19.7953,10.3333,214.336,42.1973,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,15.26,58.048
2315,19.6773,11.0,215.136,41.9947,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,15.066,58.0107
2330,19.5727,11.0,216.384,41.7573,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,14.864,57.864
2345,19.442,10.2667,216.971,41.3467,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,14.6387,57.7173
0,19.3327,10.0,217.835,41.432,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.25067,14.4433,57.5627
15,19.238,9.46667,219.115,41.0427,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,14.2667,57.472
30,19.0933,9.0,219.2,41.0133,11.524,0.0,0.738,0.0,0.0,0.0,0.0,-3.44667,13.9887,57.7253
45,18.962,9.0,221.493,41.152,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,13.7673,58.3413
100,18.8533,9.0,222.229,41.152,11.5073,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,13.6213,58.496
115,18.7267,9.0,222.155,41.0427,11.6867,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,13.522,58.1013
130,18.6073,9.0,222.741,40.9627,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,13.3787,57.44
145,18.5007,9.0,221.515,40.708,11.7847,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,13.1973,57.5707
200,18.36,8.86667,222.304,40.6213,11.7033,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,12.9067,57.4293
215,18.2387,8.0,222.411,40.712,11.6867,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,12.6573,57.3867
230,18.09,8.0,222.08,40.6547,11.7847,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,12.5453,57.3787
245,17.9553,8.4,222.432,40.672,11.4427,0.0,0.694,0.0,0.0,0.0,0.0,-3.12,12.398,57.3493
300,17.8333,7.8,221.12,40.676,11.768,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,12.29,56.8533
315,17.7047,7.0,220.853,40.488,11.524,0.0,0.65,0.168,0.0,0.0,0.0,-3.18533,12.176,56.6053
330,17.5733,7.0,218.784,40.3333,11.7847,0.0,0.65,0.508,0.0,0.0,0.0,-3.10733,12.1367,56.2693
345,17.4713,7.0,216.373,40.4413,11.6053,0.0,0.65,0.0413333,0.0,0.0,0.0,-3.25067,12.072,56.0453
400,17.3667,7.0,216.043,40.4253,11.9473,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,11.9873,55.984
415,17.268,7.0,214.187,40.372,11.622,0.0,0.65,0.230667,0.0,0.0,0.0,-3.18533,11.9167,56.0373
430,17.126,7.0,213.003,40.3133,11.7847,0.0,0.65,0.663333,0.0,0.0,0.0,-3.17267,11.8633,56.0667
445,16.9933,7.0,212.619,40.312,11.6053,0.0,0.65,1.298,0.0,0.0,0.0,-3.25067,11.836,56.1867
500,16.904,6.66667,211.168,40.3413,11.6053,0.0,0.65,0.706,0.0,0.0,0.0,-3.25067,11.7567,56.104
515,16.83,6.0,211.317,40.376,11.622,0.0,0.65,0.0,0.0,0.0,0.0,-3.12,11.6907,56.0907
530,16.7333,6.13333,211.2,40.372,11.866,0.0,0.782,0.0,0.0,0.0,0.0,-3.12,11.5713,56.4747
545,16.61,6.8,210.304,40.4253,11.768,0.0,2.54133,0.0,0.0,0.0,0.0,-3.18533,11.3687,57.0773
600,16.504,7.0,210.571,40.48,11.524,0.0,66.166,0.0,0.0,0.0,0.0,-3.18533,11.2627,56.8853
615,16.3927,6.06667,211.072,40.4373,11.6053,0.0,499.723,0.0,0.0,0.0,0.0,-2.19667,11.1727,56.9093
630,16.282,6.0,211.093,40.448,11.6053,0.0,611.84,0.0,150.528,2042.88,738.304,6.454,11.1,56.9573
645,16.178,6.0,211.467,40.44,20.0447,0.0,612.651,0.0,4107.26,22017.0,7059.8,32.7267,11.03,57.088
700,16.1087,6.0,213.557,40.4507,21.328,0.0,614.507,0.0,7877.63,43632.0,16936.3,72.7547,11.0,56.8347
715,16.0233,6.0,215.221,40.348,21.4893,0.0,616.085,0.127333,9734.14,54998.4,26204.8,116.608,11.09,56.12
730,15.99,6.33333,215.093,40.508,21.5073,0.0,617.408,0.0,11285.8,62906.4,35655.7,164.304,11.2253,55.3573
745,15.96,7.0,215.424,40.556,21.3453,0.0,618.773,0.0,12533.8,69208.7,44455.3,214.869,11.4613,54.4987
800,15.97,7.66667,215.509,40.6867,21.166,0.0,619.413,0.0,13487.4,72149.7,51937.3,264.331,11.778,53.9627
815,15.9967,9.0,215.488,40.7867,21.246,0.0,620.139,0.0,14361.3,74227.7,59392.0,313.227,12.1447,54.224
830,16.038,9.2,215.872,40.868,27.3667,0.0,620.821,0.0,15451.5,75502.9,67114.3,361.685,12.57,55.1733
845,16.1227,9.73333,215.211,40.9867,32.492,0.0,621.547,0.0,17179.3,75882.5,73408.5,406.677,13.0093,56.2373
900,16.246,10.0,216.181,40.9,41.516,0.0,622.357,0.0,18683.9,76455.9,79055.5,449.92,13.4953,56.9333
915,16.4007,11.6,215.413,40.6547,41.4173,0.0,622.656,0.192,17724.8,78654.1,84863.7,495.829,14.0053,56.792
930,16.6693,13.6667,216.811,40.2733,49.7333,0.0,623.083,0.174,15824.9,75707.7,89205.4,533.163,14.52,55.752
945,16.9007,15.0,218.272,40.172,51.9147,0.0,623.211,0.440667,14361.9,72237.1,93743.8,574.272,15.106,55.08
1000,17.1213,15.6667,219.808,40.1813,51.5707,0.0,624.32,0.764667,13043.0,67125.2,95660.7,612.971,15.6,54.1627
1015,17.3767,17.0,221.44,40.22,53.9013,0.0,624.32,0.392,11896.1,58480.0,95649.8,641.6,16.0653,53.416
1030,17.7033,17.6667,225.109,40.3733,81.6827,0.0,624.32,0.909333,11179.3,48507.6,95584.3,667.733,16.586,52.92
1045,18.096,19.0,232.331,40.4653,81.4827,0.0,623.979,1.20267,10685.4,36554.1,95518.7,692.011,17.142,52.8747
1100,18.4513,19.0,238.752,40.832,81.7413,0.0,623.467,1.49733,10157.1,25960.4,95475.0,718.251,17.636,52.696
1115,18.76,19.0,243.904,41.0307,81.6613,0.0,623.04,1.868,9640.96,19033.4,95425.9,741.12,18.03,52.0427
1130,19.122,19.0,267.189,41.836,81.4213,0.0,623.04,1.93467,9411.58,15601.0,95431.3,754.987,18.3747,52.0773
1145,19.546,19.0,283.349,42.432,81.424,0.0,622.656,2.028,9777.15,13444.4,95382.2,763.52,18.6873,52.4213
1200,20.0367,19.0,322.869,43.0747,81.4827,0.0,622.4,1.992,11366.1,11158.2,95354.9,771.627,18.9767,52.688
1215,20.4673,19.7333,357.781,42.1147,81.6613,0.0,622.144,2.25667,14368.8,10135.6,95311.2,776.619,19.248,53.16
1230,20.832,19.4667,396.843,42.1467,81.4427,0.0,622.229,1.81,18976.8,10092.5,95344.0,775.253,19.5893,53.3893
1245,21.216,19.0,445.248,42.4773,81.3227,0.0,622.4,2.034,26528.4,9640.96,95354.9,771.456,19.9793,53.2213
1300,21.6253,19.0,445.803,44.2933,81.2613,0.0,622.101,1.952,37169.8,9017.34,95278.4,762.795,20.274,53.2027
1315,21.8947,19.0,428.928,43.0907,81.3413,0.0,621.76,1.90133,49610.8,8759.3,95300.3,749.952,20.5307,53.112
1330,22.1773,19.1333,436.117,43.2027,80.9227,0.0,621.461,2.008,62794.4,8902.66,95163.7,731.392,20.88,53.008
1345,22.3373,19.7333,401.237,43.0427,81.1013,0.0,620.48,2.08933,72485.5,8967.17,91799.6,712.491,21.2107,52.6907
1400,22.4733,20.0,378.453,42.8373,81.0827,0.0,620.48,1.63933,81002.5,9053.18,86911.7,686.507,21.5027,52.288
1415,22.612,20.0,352.171,43.0427,64.8453,0.0,620.352,1.872,88124.1,9218.05,81589.6,657.472,21.844,51.784
1430,22.7813,20.0,308.576,43.7227,51.416,0.0,619.84,1.82067,91045.9,9447.42,75524.8,627.84,22.196,50.8
1445,22.912,20.0,292.971,43.672,50.6347,0.0,619.84,1.96067,93498.0,9784.32,68381.4,594.283,22.3693,49.4987
1500,22.992,20.0,277.387,43.4987,41.9733,0.0,619.328,1.782,93066.6,9992.19,60907.5,558.443,22.32,48.1893
1515,23.088,20.0,263.808,43.064,38.6867,0.0,619.2,2.03067,91258.9,9612.29,52974.9,518.827,22.136,46.432
1530,23.148,20.0,243.435,42.0827,31.0453,0.0,618.816,1.84467,92160.0,8673.28,44761.1,476.373,21.8853,45.1947
1545,23.164,20.0,232.693,41.124,23.004,0.0,618.603,2.00933,91930.6,7985.15,36319.2,431.253,21.5827,44.3787
1600,23.132,19.8667,224.021,40.4133,20.8053,0.0,618.56,1.56,88861.4,7533.57,27955.2,383.637,21.2467,44.2373
1615,23.128,19.0,219.52,39.9333,20.742,0.0,618.56,1.636,88479.1,7347.2,21349.0,334.421,20.9627,44.0347
1630,23.0627,19.0,216.501,39.2667,20.9027,0.0,618.091,1.498,82580.8,7081.98,16311.6,285.024,20.6947,43.544
1645,22.996,19.0,216.619,38.8173,20.6607,0.0,617.92,1.782,78711.5,6773.76,12907.9,234.805,20.4427,43.4693
1700,22.9333,19.0,213.557,38.384,20.562,0.0,617.323,1.246,70421.2,6207.49,10277.9,184.949,20.1167,43.048
1715,22.8213,19.0,211.445,37.8173,20.822,0.0,616.811,1.578,48251.2,4652.03,7182.34,116.075,19.8167,43.36
1730,22.716,18.8,210.795,37.912,20.9213,0.0,615.573,1.254,2788.35,2386.94,1978.37,24.2627,19.5533,44.864
1745,22.5893,18.2667,209.877,39.0733,20.6607,0.0,614.464,1.41867,2085.89,1734.66,1526.78,15.6347,19.3293,48.3867
1800,22.484,18.0,209.483,40.848,11.328,0.0,613.973,0.780667,1103.87,473.088,451.584,5.62067,19.1287,51.8347
1815,22.3813,18.0,210.315,42.32,11.328,0.0,585.813,0.650667,0.0,0.0,0.0,-2.58867,18.9267,54.5067
