MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Time
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,116.37
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,1,78.705
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,1,0,80.565
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,1,1,86.6375
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,0,0,118.66250000000001
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,0,1,83.16499999999999
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,1,0,84.435
-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,1,1,94.5125
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,0,0,119.0775
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,0,1,86.3025
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,1,0,83.94
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,1,1,86.8425
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,0,0,118.275
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,0,1,92.38
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,0,86.16749999999999
-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,1,105.995
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,77.305
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,1,65.11749999999999
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,1,0,72.07
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,1,1,63.89
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,1,0,0,77.2775
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,1,0,1,65.4325
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,1,1,0,70.535
-1,-1,0,-1,-1,-1,-1,0,-1,0,0,1,1,1,63.182500000000005
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,0,0,0,79.19
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,0,0,1,70.23
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,0,1,0,75.4625
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,0,1,1,75.5875
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,1,0,0,79.2825
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,1,0,1,69.82000000000001
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,1,1,0,74.0775
-1,-1,0,-1,-1,-1,-1,0,-1,0,1,1,1,1,75.95
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,73.825
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,1,71.08999999999999
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,1,0,62.75750000000001
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,1,1,62.735
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,0,0,76.1525
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,0,1,74.34249999999999
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,1,0,64.65
-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,1,1,74.70750000000001
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,0,0,73.6725
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,0,1,72.22500000000001
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,1,0,63.635
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,1,1,62.552499999999995
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,1,0,0,76.2575
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,1,0,1,75.4975
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,1,1,0,64.78
-1,-1,0,-1,-1,-1,-1,0,0,-1,1,1,1,1,74.0975
-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,62.052499999999995
-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,1,56.652499999999996
-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,52.897499999999994
-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,1,53.44499999999999
-1,-1,0,-1,-1,-1,-1,0,0,0,0,1,0,0,62.2
-1,-1,0,-1,-1,-1,-1,0,0,0,0,1,0,1,56.69
-1,-1,0,-1,-1,-1,-1,0,0,0,0,1,1,0,54.92
-1,-1,0,-1,-1,-1,-1,0,0,0,0,1,1,1,54.037499999999994
-1,-1,0,-1,-1,-1,-1,0,0,0,1,0,0,0,62.3475
-1,-1,0,-1,-1,-1,-1,0,0,0,1,0,0,1,57.949999999999996
-1,-1,0,-1,-1,-1,-1,0,0,0,1,0,1,0,53.1925
-1,-1,0,-1,-1,-1,-1,0,0,0,1,0,1,1,53.512499999999996
-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,0,0,62.42
-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,0,1,58.2175
-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,1,0,55.055
-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,53.7025
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,0,0,91.0275
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,0,1,81.93499999999999
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,1,0,83.2
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,1,1,87.2975
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,0,0,91.82749999999999
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,0,1,84.0025
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,1,0,82.69
-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,1,1,94.95
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,0,0,93.14999999999999
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,0,1,87.625
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,1,0,85.7925
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,1,1,87.5075
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,0,0,95.85999999999999
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,0,1,93.25500000000001
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,0,85.705
-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,1,1,106.11
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,0,0,0,72.66
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,0,0,1,65.685
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,0,1,0,71.2825
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,0,1,1,63.06
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,1,0,0,72.6225
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,1,0,1,65.93
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,1,1,0,70.8025
-1,-1,0,-1,-1,-1,-1,1,-1,0,0,1,1,1,63.815
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,0,0,75.295
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,0,1,70.96000000000001
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,1,0,74.115
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,1,1,76.04
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,0,0,75.86
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,0,1,70.61500000000001
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,1,0,74.4975
-1,-1,0,-1,-1,-1,-1,1,-1,0,1,1,1,1,76.5875
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,0,0,71.6975
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,0,1,69.48
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,1,0,64.8075
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,1,1,61.735
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,1,0,0,71.695
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,1,0,1,73.29499999999999
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,1,1,0,62.975
-1,-1,0,-1,-1,-1,-1,1,0,-1,0,1,1,1,73.87750000000001
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,0,0,71.78999999999999
